id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2289055-A,Computing machine ,,,,,1942-07-07,1942-07-07,https://patents.google.com/patent/US2289055A/en,https://patentimages.storage.googleapis.com/62/35/09/fdcbc62c5f964a/US2289055-drawings-page-1.png
US-1378887-A,Paper-feed alarm for adding-machines ,Jr Thomas Pugh Martin,Jr Thomas Pugh Martin,1918-05-20,1918-05-20,1921-05-24,1921-05-24,https://patents.google.com/patent/US1378887A/en,https://patentimages.storage.googleapis.com/9d/2c/d7/9209af2699c91e/US1378887-drawings-page-1.png
US-2654164-A,Abacus ,Seidenberg Oscar,Seidenberg Oscar,1953-07-21,1953-07-21,1953-10-06,1953-10-06,https://patents.google.com/patent/US2654164A/en,https://patentimages.storage.googleapis.com/fe/2b/be/234cfc74255878/US2654164-drawings-page-1.png
US-2224203-A,Locking mechanism for calculating ,,,,,1940-12-10,1940-12-10,https://patents.google.com/patent/US2224203A/en,https://patentimages.storage.googleapis.com/bd/e8/c4/da3201e736d06e/US2224203-drawings-page-1.png
US-2886238-A,Plunkett ,,,,,1959-05-12,1959-05-12,https://patents.google.com/patent/US2886238A/en,https://patentimages.storage.googleapis.com/55/e6/c6/d9a1ab009a4c76/US2886238-drawings-page-1.png
US-2681765-A,Value indexing mechanism ,Friden Calculating Machine Co,"George W Hopkins, Arthur J Malavazos",1949-11-07,1950-01-31,1954-06-22,1954-06-22,https://patents.google.com/patent/US2681765A/en,https://patentimages.storage.googleapis.com/f0/a6/e2/2950dc048cb433/US2681765-drawings-page-1.png
US-2222272-A,Calculator ,,,,,1940-11-19,1940-11-19,https://patents.google.com/patent/US2222272A/en,https://patentimages.storage.googleapis.com/b1/07/c7/1f6ab5c0275a21/US2222272-drawings-page-1.png
US-2688439-A,Decimal point mechanism ,,,,,1954-09-07,1954-09-07,https://patents.google.com/patent/US2688439A/en,https://patentimages.storage.googleapis.com/ae/40/f4/a6306ac443119c/US2688439-drawings-page-1.png
US-2861746-A,Control means for accounting machine ,Underwood Corp,Walter A Anderson,1955-12-28,1955-12-28,1958-11-25,1958-11-25,https://patents.google.com/patent/US2861746A/en,https://patentimages.storage.googleapis.com/f2/a7/f7/5e40ea964aab38/US2861746-drawings-page-1.png
US-3151404-A,Abacus ,Andrew F Schott,Andrew F Schott,1961-05-16,1961-05-16,1964-10-06,1964-10-06,https://patents.google.com/patent/US3151404A/en,https://patentimages.storage.googleapis.com/0a/85/7e/114f02986a1d50/US3151404-drawings-page-1.png
